OrderDetailID,OrderID,ProductID,Quantity,Price
157,3633,93,1,451
158,2367,30,3,139
159,795,91,3,30
160,3782,7,3,624
161,5993,13,3,502
162,7226,7,1,634
163,9850,99,3,498
164,3706,70,2,835
165,7433,22,2,171
166,8917,59,3,489
167,978,14,3,217
168,9089,21,1,554
169,76,18,4,821
170,3603,48,1,433
171,1658,93,1,152
172,5006,26,2,426
173,5850,39,2,26
174,1872,37,4,998
175,9724,62,3,980
176,4870,64,4,603
177,4209,62,3,171
178,350,100,2,139
179,4861,28,2,910
180,3091,11,3,954
181,5849,17,2,481
182,2265,12,4,624
183,1524,28,4,409
184,642,88,4,451
185,8906,31,3,139
186,8191,56,1,428
187,3497,56,4,730
188,5813,29,3,61
189,1928,5,1,893
190,8481,35,1,41
191,5547,13,4,471
192,6046,45,2,30
193,6434,73,2,239
194,5988,31,4,569
195,6164,87,1,409
196,6462,16,4,569
197,6360,54,1,272
198,1624,84,2,83
199,253,47,4,422
200,6212,8,3,763
201,3663,48,2,514
202,6483,81,2,739
203,5779,64,1,777
204,368,50,2,465
205,9763,19,1,481
206,2031,43,1,210
207,2701,91,3,514
208,7559,79,2,427
209,4624,88,2,645
210,3338,69,4,742
211,2297,53,4,152
212,7846,47,3,272
213,8245,38,2,569
214,9762,57,3,763
215,5205,9,4,489
216,1409,89,2,91
217,719,15,2,169
218,6858,27,1,730
219,571,59,3,89
220,7011,45,2,739
221,1049,6,4,471
222,4000,39,4,489
223,5663,16,2,195
224,3965,51,3,297
225,3075,29,1,409
226,854,97,2,928
227,4290,82,2,873
228,5847,100,2,223
229,7016,1,1,514
230,830,13,1,413
231,693,6,4,450
232,5976,20,3,106
233,5497,98,2,443
234,3617,82,1,67
235,7921,71,2,169
236,3163,37,3,239
237,2701,80,3,254
238,6629,78,4,634
239,1575,78,3,821
240,2153,4,3,821
241,7193,14,1,195
242,6638,65,4,450
243,5569,56,4,217
244,1552,33,3,272
245,4680,72,3,427
246,1621,91,1,410
247,4043,97,2,61
248,3802,94,2,61
249,8628,20,1,422
250,1468,6,4,426
251,3365,1,3,471
252,1846,9,4,649
253,1535,55,3,998
254,1491,32,1,481
255,4271,97,2,217
256,6485,18,3,670
257,9214,37,2,735
258,3819,63,4,165
259,7634,19,2,616
260,170,97,4,30
261,4836,5,1,735
262,701,56,4,502
263,6131,12,3,364
264,4542,65,1,409
265,951,70,4,217
266,9743,81,4,195
267,3046,8,3,645
268,2619,5,2,498
269,3831,99,4,749
270,298,28,1,569
271,8052,79,3,217
272,510,60,1,89
273,5894,92,1,217
274,3750,88,4,422
275,7119,90,1,165
276,1441,72,3,389
277,5466,99,2,446
278,7582,80,4,739
279,5230,71,4,61
280,449,17,4,569
281,634,51,3,364
282,5887,55,2,446
283,1019,99,4,61
284,8907,64,1,422
285,5610,31,4,195
286,5647,59,2,223
287,7116,71,1,837
288,918,51,4,980
289,9016,67,3,514
290,6938,18,1,239
291,4274,27,2,232
292,2033,81,2,813
293,8791,32,1,777
294,2365,75,4,928
295,3,76,2,171
296,5278,46,4,730
297,5306,36,3,821
298,6040,76,2,223
299,8005,12,1,980
300,4147,59,1,210
301,6966,84,2,932
302,3763,42,1,645
303,2715,67,1,980
304,2473,31,1,813
305,7793,5,1,481
306,4216,84,1,603
307,618,47,3,540
308,1394,42,1,980
309,2465,1,1,30
310,1803,56,3,522
311,8356,11,2,451
312,9849,41,1,272
313,8827,36,1,960
314,9148,31,1,624
315,4645,63,4,502
316,6032,88,3,61
317,719,63,1,749
318,3464,15,4,932
319,995,57,3,427
320,4617,2,1,569
321,837,29,4,30
322,8704,59,4,171
323,7760,41,4,540
324,1042,86,2,217
325,7628,41,3,673
326,4803,11,2,41
327,5236,95,3,980
328,8736,84,4,413
329,6367,39,3,297
330,4184,79,3,649
331,5793,99,3,171
332,9157,81,4,835
333,1922,4,2,673
334,2870,31,1,389
335,9190,93,2,742
336,8867,30,1,777
337,9079,61,2,624
338,2237,69,2,616
339,6515,93,3,91
340,4924,20,3,254
341,2298,73,3,960
342,4220,14,4,389
343,2014,44,4,624
344,2353,18,2,511
345,4887,49,3,426
346,1860,81,3,53
347,4494,81,4,413
348,7326,58,2,645
349,2051,70,4,735
350,2044,21,2,821
351,6475,54,1,763
352,4675,42,3,471
353,2729,10,3,910
354,8112,92,3,139
355,5682,45,1,83
356,442,55,3,171
357,2063,21,2,604
358,5242,65,1,481
359,9776,41,1,210
360,8818,68,2,41
361,6977,52,4,481
362,6114,6,4,893
363,9151,25,3,624
364,9231,65,3,645
365,7556,100,2,835
366,91,35,4,217
367,2765,3,2,169
368,5879,40,3,41
369,1518,64,2,540
370,8040,88,2,673
371,6048,87,3,91
372,6665,90,1,422
373,3813,69,2,426
374,9433,34,3,152
375,8377,52,4,139
376,8387,78,4,106
377,8208,24,3,835
378,3153,38,4,739
379,3675,97,3,83
380,5770,53,4,616
381,6837,56,4,569
382,6209,17,1,649
383,4381,97,4,998
384,8338,15,2,91
385,9632,99,2,498
386,1899,14,1,410
387,3745,61,3,232
388,9686,65,4,152
389,1899,46,1,954
390,6411,14,1,41
391,5832,37,2,634
392,6435,76,2,873
393,8272,99,4,670
394,7788,32,3,223
395,5597,2,2,413
396,1186,97,1,67
397,5625,18,1,364
398,3060,16,4,569
399,6968,89,4,165
400,3935,90,4,198
401,1438,5,3,232
402,5104,16,1,364
403,8030,80,4,232
404,8650,11,1,522
405,2274,8,1,739
406,5695,67,4,649
407,2326,53,3,210
408,7993,60,4,389
409,5814,80,3,604
410,2052,7,4,413
411,7361,92,4,489
412,9983,2,2,489
413,3376,99,4,481
414,151,31,2,980
415,8051,11,1,433
416,7383,75,1,30
417,1766,65,2,800
418,7495,61,1,171
419,4001,57,2,41
420,9114,94,4,152
421,955,94,2,489
422,85,33,4,604
423,8610,12,3,502
424,8898,74,4,389
425,5366,55,2,474
426,8565,43,3,232
427,1095,68,3,739
428,3274,97,4,223
429,7519,95,3,616
430,9096,95,4,481
431,4865,5,3,540
432,4317,63,3,272
433,1183,85,2,450
434,5328,18,1,603
435,2899,82,2,893
436,9946,4,3,489
437,4490,50,1,616
438,5093,20,4,422
439,8514,53,3,749
440,1204,20,2,91
441,3672,54,2,763
442,7550,28,3,443
443,6972,77,3,954
444,8014,35,2,540
445,126,18,1,446
446,5102,33,3,165
447,6962,37,2,980
448,3691,100,3,624
449,3160,9,4,41
450,6143,26,1,169
451,3598,1,1,910
452,3315,25,4,604
453,2578,88,1,198
454,4386,30,3,83
455,3625,42,4,210
456,1611,76,2,742
457,5297,15,4,446
458,8410,84,3,446
459,4821,91,4,603
460,2864,93,4,139
461,4033,66,3,254
462,3854,15,3,67
463,391,99,1,960
464,3998,10,1,450
465,4247,57,3,30
466,8655,26,4,446
467,5009,34,3,489
468,6018,8,3,413
469,9544,58,4,106
470,9127,65,2,297
471,9436,15,3,83
472,3376,68,1,202
473,511,67,1,272
474,4869,42,4,511
475,4066,2,4,821
476,3143,19,2,634
477,2910,19,2,481
478,5214,46,4,169
479,2767,83,2,670
480,1609,84,1,519
481,1691,49,1,980
482,8962,58,3,777
483,228,37,3,139
484,7343,66,1,195
485,808,25,2,210
486,6361,86,1,739
487,548,34,1,217
488,5517,86,2,980
489,724,76,1,297
490,115,39,1,813
491,6662,12,2,800
492,4036,48,1,928
493,9341,95,3,704
494,6452,60,1,446
495,9935,96,2,527
496,7683,100,2,540
497,4162,14,4,171
498,8470,26,4,519
499,139,92,3,465
500,676,1,2,735
501,7477,10,2,428
502,9259,87,4,446
503,1837,35,1,502
504,8873,79,4,670
505,4367,53,3,569
506,2348,45,4,443
507,1066,8,1,603
508,9813,2,1,645
509,7684,20,3,603
510,5033,41,4,83
511,6406,29,2,297
512,5841,63,3,893
513,3327,2,2,171
514,6225,40,2,998
515,4507,41,1,95
516,8922,44,1,527
517,4852,51,4,670
518,8050,79,1,980
519,7271,53,2,498
520,5664,68,3,91
521,9586,13,3,910
522,2903,28,2,139
523,51,40,1,389
524,7406,21,2,61
525,8232,79,3,422
526,6023,62,4,451
527,8961,33,1,223
528,2969,53,3,932
529,6367,76,3,837
530,8710,30,1,152
531,8156,68,1,634
532,2020,39,4,763
533,6416,11,4,614
534,7574,91,3,799
535,4325,82,4,426
536,5681,78,1,837
537,9467,15,1,422
538,4490,49,2,739
539,7463,34,2,489
540,6714,87,2,106
541,5831,99,1,670
542,2730,69,2,443
543,9517,65,3,624
544,601,90,2,450
545,1797,10,4,428
546,8505,79,3,26
547,5200,96,3,569
548,663,42,2,569
549,5778,88,2,422
550,8687,36,1,195
551,3976,45,1,893
552,3048,80,2,171
553,2195,10,3,83
554,6373,98,2,433
555,3996,14,1,171
556,1732,69,1,272
557,2902,18,4,195
558,4428,54,3,413
559,5569,8,1,763
560,776,95,4,800
561,442,60,2,450
562,3049,82,3,171
563,411,13,2,202
564,8301,11,4,139
565,7670,3,4,89
566,3174,16,3,634
567,5869,72,4,498
568,2937,81,3,53
569,6783,57,2,540
570,8079,13,1,837
571,4830,49,1,171
572,5827,35,3,777
573,1727,45,3,735
574,3166,8,4,481
575,484,83,1,171
576,6915,42,3,569
577,6964,79,1,481
578,4140,63,1,649
579,1340,71,2,67
580,6202,1,2,960
581,607,59,1,389
582,5262,77,1,474
583,6931,61,4,389
584,9662,49,2,232
585,8627,19,1,474
586,4219,55,1,451
587,3062,57,3,61
588,1818,63,2,290
589,4722,66,4,428
590,952,22,4,89
591,2807,8,2,763
592,9068,43,2,616
593,9701,25,3,749
594,4781,26,2,569
595,3295,76,2,837
596,6866,3,2,239
597,2946,21,4,67
598,4218,69,1,998
599,7533,12,3,742
600,7494,27,4,624
601,2888,1,1,835
602,9325,43,2,171
603,2884,67,3,83
604,4639,54,1,634
605,1146,54,4,465
606,2119,52,3,481
607,1199,63,4,739
608,7461,74,2,893
609,1745,13,3,835
610,9952,19,4,433
611,3091,95,2,522
612,9945,77,3,426
613,9269,94,2,83
614,9214,78,4,272
615,992,58,4,165
616,587,32,2,53
617,7812,49,3,61
618,8750,14,4,139
619,3487,46,1,30
620,9764,92,2,893
621,9348,61,4,26
622,8834,20,4,821
623,4775,25,2,465
624,3884,75,2,89
625,4187,61,1,465
626,8057,27,2,502
627,7977,29,1,540
628,3194,69,2,893
629,5985,87,3,481
630,3878,49,3,364
631,4042,17,2,202
632,2753,3,4,554
633,3186,69,4,446
634,419,56,2,763
635,4619,54,3,169
636,2235,8,1,910
637,7750,55,4,446
638,811,97,1,297
639,7655,78,2,489
640,9832,42,1,704
641,2905,31,1,670
642,2775,8,2,673
643,1654,65,2,474
644,4101,5,1,152
645,5786,5,3,502
646,6944,34,1,413
647,4399,1,4,106
648,1976,62,3,89
649,6499,10,1,519
650,5050,38,4,427
651,9884,78,3,932
652,5215,8,4,67
653,7759,25,2,171
654,4791,93,1,837
655,826,50,2,569
656,5109,61,3,604
657,430,37,4,61
658,3914,85,4,413
659,5805,31,2,139
660,3722,42,2,217
661,1382,24,3,481
662,1756,85,3,195
663,3672,67,1,171
664,4601,96,3,152
665,5488,62,3,61
666,2912,6,3,451
667,5894,71,3,446
668,1419,51,2,739
669,4483,15,2,604
670,5064,34,4,540
671,1953,64,3,511
672,2031,46,2,465
673,979,76,1,443
674,762,82,4,89
675,6154,25,2,998
676,5907,38,3,813
677,135,62,3,254
678,2621,66,4,446
679,2574,85,2,873
680,2306,23,4,813
681,6588,33,1,422
682,2349,62,4,704
683,7956,27,4,171
684,5146,61,1,152
685,5563,29,3,489
686,5111,47,1,730
687,7144,38,3,910
688,9879,81,3,604
689,7376,72,1,670
690,9881,61,3,739
691,4724,21,2,489
692,6345,23,2,514
693,381,58,4,519
694,6047,52,2,893
695,1139,18,4,763
696,6447,44,2,527
697,142,72,2,195
698,4624,52,2,171
699,5268,62,2,670
700,1525,88,3,932
701,5894,9,4,519
702,9245,93,4,152
703,6404,75,3,928
704,2056,45,2,389
705,3376,36,1,910
706,7184,72,1,489
707,3375,68,1,471
708,6240,46,4,998
709,4322,88,3,554
710,8780,49,1,409
711,9540,2,2,413
712,7287,76,4,254
713,7339,76,1,730
714,34,26,4,569
715,7942,83,3,364
716,5425,90,1,739
717,9267,88,1,799
718,1545,63,2,290
719,7534,42,4,67
720,528,60,1,980
721,3259,59,2,522
722,6328,25,3,954
723,7361,16,1,446
724,3156,65,3,83
725,896,32,3,998
726,5514,48,3,489
727,5081,57,2,616
728,1527,24,1,83
729,604,34,3,427
730,8995,50,3,410
731,1086,84,1,569
732,2081,87,3,223
733,143,92,2,41
734,9578,52,4,443
735,9714,82,4,389
736,5235,96,3,409
737,1909,62,1,742
738,5477,56,1,616
739,9610,46,1,232
740,3576,39,4,910
741,6736,39,3,474
742,754,57,1,763
743,7775,28,3,413
744,4360,37,2,217
745,1261,90,4,569
746,1534,91,3,514
747,1595,63,2,527
748,3921,27,4,89
749,3247,45,1,821
750,1596,81,2,239
751,3241,15,4,519
752,7220,13,3,502
753,3300,86,4,95
754,7416,43,4,910
755,2380,99,2,645
756,2936,54,2,446
757,3510,23,1,739
758,7501,65,2,91
759,99,63,3,91
760,9928,72,2,451
761,7159,69,3,471
762,5387,39,3,208
763,6152,62,4,426
764,1598,99,2,932
765,5521,54,3,428
766,2893,78,4,198
767,4068,2,4,614
768,6029,3,3,254
769,9046,19,2,202
770,3182,74,1,624
771,9786,66,3,61
772,9048,45,1,489
773,2462,14,2,954
774,5005,83,1,223
775,3080,7,4,53
776,3648,3,1,169
777,5940,1,1,489
778,3974,52,3,446
779,5447,61,1,239
780,1974,23,3,67
781,4374,13,3,649
782,3263,61,3,749
783,8696,38,3,603
784,9950,44,2,614
785,700,10,1,223
786,8852,99,3,428
787,4191,31,4,450
788,1651,33,3,800
789,7853,24,3,202
790,6778,13,1,481
791,7482,98,4,409
792,7372,19,4,272
793,677,84,2,61
794,8414,62,1,910
795,6731,67,4,165
796,6090,83,3,239
797,4830,47,1,673
798,5342,31,4,83
799,6574,19,1,673
800,3306,42,1,428
801,121,91,2,649
802,7729,11,3,41
803,3451,40,2,777
804,9784,75,4,749
805,6312,81,4,422
806,8986,98,2,171
807,7764,73,1,61
808,7258,39,4,673
809,5731,87,3,910
810,7440,8,3,522
811,2123,77,3,527
812,4233,34,4,61
813,2309,42,4,670
814,3284,81,3,634
815,6008,48,2,61
816,6754,15,4,139
817,8990,31,3,171
818,1568,47,3,616
819,4312,48,4,670
820,4881,3,2,670
821,364,45,3,735
822,4327,50,4,670
823,8171,35,3,83
824,383,36,1,489
825,2202,69,3,645
826,5157,26,1,208
827,5433,90,2,763
828,4108,52,1,427
829,7393,24,2,670
830,2203,6,3,83
831,519,71,1,239
832,5098,52,1,433
833,236,28,1,554
834,5158,45,2,616
835,6064,78,4,171
836,4394,39,1,799
837,1268,85,3,290
838,2171,11,3,217
839,9708,76,4,427
840,8074,50,4,998
841,7019,34,1,928
842,9481,35,3,735
843,3180,71,2,893
844,5346,23,1,446
845,1198,1,1,297
846,3933,20,3,450
847,6482,32,2,413
848,9910,98,1,474
849,1629,54,1,742
850,7799,20,3,519
851,2902,78,4,83
852,9744,69,2,427
853,2989,88,4,514
854,8736,21,2,428
855,8616,76,3,873
856,3418,66,4,670
857,8147,74,4,106
858,994,13,3,673
859,9724,95,2,165
860,3004,46,2,502
861,4427,24,4,960
862,3516,26,2,217
863,1573,33,1,763
864,5654,41,3,614
865,1933,88,4,217
866,912,1,2,446
867,4412,9,4,893
868,5847,95,4,835
869,6816,59,2,873
870,7851,88,2,777
871,6304,43,3,67
872,7014,26,1,910
873,156,39,4,800
874,9121,54,4,519
875,6888,22,1,89
876,5457,97,3,763
877,2730,96,1,481
878,7554,97,2,960
879,6899,73,2,169
880,1698,15,4,670
881,9070,86,2,960
882,5542,80,1,451
883,2316,99,1,932
884,5013,89,4,272
885,1115,99,3,540
886,1320,25,3,83
887,357,53,4,446
888,7166,10,2,152
889,8510,80,4,614
890,9533,18,3,165
891,2900,50,3,202
892,1020,29,4,290
893,6446,17,1,873
894,7401,58,4,106
895,9180,4,2,527
896,9629,68,4,502
897,1074,53,3,53
898,8553,79,3,742
899,3008,4,1,799
900,3574,13,4,61
901,3558,50,2,835
902,870,53,1,799
903,6282,56,1,61
904,877,70,4,202
905,3765,69,2,26
906,1820,55,3,614
907,2,33,1,217
908,9885,70,2,410
909,4916,34,1,171
910,7677,69,3,61
911,2190,58,3,998
912,6172,36,1,603
913,2305,13,4,422
914,3003,92,3,749
915,3058,7,1,519
916,7928,57,1,450
917,5093,9,4,422
918,3157,26,2,511
919,3315,97,2,95
920,5326,55,1,603
921,4881,23,1,443
922,1295,56,1,837
923,479,26,1,26
924,7726,75,1,217
925,5297,49,4,198
926,4878,77,4,26
927,3812,52,2,30
928,4571,91,1,527
929,3459,66,2,603
930,9060,61,3,998
931,7422,16,1,954
932,3462,93,2,735
933,1406,20,4,704
934,9691,96,2,777
935,5654,87,3,649
936,534,73,3,53
937,4832,96,3,519
938,4443,4,4,202
939,9415,50,1,800
940,3303,42,1,422
941,3404,10,4,893
942,9552,4,1,514
943,9450,56,3,873
944,5118,75,2,522
945,8121,66,4,426
946,9531,92,2,198
947,8362,62,3,428
948,3509,12,4,813
949,9510,40,4,61
950,7513,85,4,540
951,8068,45,1,514
952,7348,98,2,232
953,6652,98,2,433
954,4396,36,2,813
955,7703,50,2,980
956,3786,54,1,649
957,7391,67,1,165
958,8955,39,1,777
959,900,6,2,777
960,2691,65,1,433
961,2526,12,2,603
962,5157,1,1,799
963,18,84,2,139
964,3845,36,3,41
965,5673,38,1,749
966,2908,48,3,489
967,5772,47,4,471
968,1750,3,1,998
969,1542,50,3,89
970,1469,51,3,813
971,5119,45,3,928
972,9664,20,4,443
973,7536,46,1,835
974,4573,72,4,443
975,4063,11,2,290
976,8773,56,2,433
977,5003,1,2,603
978,7102,30,4,217
979,2961,60,1,540
980,4027,41,2,739
981,1689,52,4,569
982,2416,78,1,603
983,3552,20,2,540
984,9117,30,3,998
985,9763,45,4,443
986,4198,76,3,433
987,4367,12,4,53
988,2355,39,3,569
989,6531,66,4,813
990,957,87,4,649
991,8451,75,1,53
992,4021,48,3,519
993,3619,13,4,960
994,4616,62,3,53
995,1456,18,2,61
996,4555,19,1,954
997,9072,27,4,195
998,7554,11,2,30
999,3474,30,3,53
1000,2994,1,3,624
1001,3094,77,2,645
1002,8427,59,4,498
1003,1822,8,1,364
1004,4486,63,1,954
1005,5513,22,2,195
1006,2512,20,2,634
1007,2589,78,1,61
1008,5950,14,3,777
1009,2077,80,3,61
1010,9939,19,1,614
1011,534,39,2,91
1012,3761,93,3,763
1013,2696,38,4,139
1014,6226,73,1,106
1015,7152,50,4,422
1016,9796,6,3,223
1017,9768,26,4,498
1018,9307,49,4,409
1019,7902,100,2,569
1020,5196,20,3,704
1021,1677,25,4,210
1022,2536,8,4,910
1023,6573,27,1,208
1024,1471,21,2,645
1025,4673,75,1,603
1026,3799,83,1,422
1027,1898,13,3,41
1028,5351,47,4,932
1029,1493,5,4,954
1030,6492,90,1,422
1031,7513,71,1,998
1032,9604,13,4,446
1033,3106,88,4,95
1034,7161,24,4,704
1035,9498,98,4,670
1036,4469,39,4,835
1037,9014,68,3,41
1038,6555,84,3,152
1039,1237,77,3,498
1040,3349,57,4,673
1041,7734,55,4,569
1042,4317,60,2,670
1043,9826,53,3,239
1044,4650,94,3,30
1045,2809,23,2,604
1046,110,44,2,569
1047,8136,62,3,614
1048,5842,77,3,422
1049,949,38,3,614
1050,453,58,1,739
1051,7923,14,3,210
1052,8299,36,3,239
1053,5,57,3,83
1054,5264,56,2,152
1055,137,41,1,742
1056,8985,5,3,67
1057,3513,75,3,410
1058,9856,16,3,749
1059,7233,76,2,91
1060,8607,17,3,800
1061,7969,31,3,169
1062,6524,72,4,954
1063,8389,12,4,502
1064,7972,8,2,954
1065,9712,13,2,61
1066,8788,23,2,67
1067,9718,5,2,739
1068,4797,72,2,210
1069,723,3,4,800
1070,7228,69,4,704
1071,8286,42,2,139
1072,2895,42,2,569
1073,9340,25,4,422
1074,9767,96,4,152
1075,4109,80,4,443
1076,4836,75,4,739
1077,2602,24,2,604
1078,8101,88,4,471
1079,1209,54,2,980
1080,2083,39,3,777
1081,6693,60,4,89
1082,250,46,1,527
1083,8130,61,3,409
1084,247,46,4,777
1085,5783,22,2,471
1086,7607,82,4,195
1087,3506,81,3,26
1088,7788,65,2,171
1089,3742,12,4,837
1090,9565,87,4,210
1091,3308,8,4,489
1092,6778,97,4,749
1093,3883,12,1,450
1094,9449,81,1,465
1095,5019,94,4,511
1096,4160,77,2,928
1097,5126,60,2,61
1098,8032,21,3,61
1099,2847,9,3,208
1100,1228,28,2,232
1101,1532,71,1,540
1102,6743,82,3,413
1103,4253,42,3,422
1104,387,33,1,554
1105,3681,46,1,670
1106,5330,64,3,569
1107,7276,23,2,428
1108,3798,53,1,53
1109,6292,65,3,624
1110,2768,55,2,604
1111,5178,39,2,837
1112,2105,64,2,389
1113,8263,83,4,232
1114,8689,19,3,730
1115,7202,4,4,272
1116,1508,7,4,670
1117,5473,29,3,511
1118,2753,75,4,498
1119,1904,93,1,704
1120,3993,8,1,61
1121,8621,45,2,413
1122,4238,73,2,837
1123,9849,5,3,540
1124,2302,95,3,527
1125,9981,63,1,171
1126,4872,74,1,446
1127,9514,43,3,446
1128,5776,88,2,932
1129,3835,17,4,30
1130,9383,75,2,428
1131,3685,34,1,645
1132,4447,88,1,413
1133,4487,8,2,446
1134,2436,44,3,800
1135,1482,24,2,254
1136,2802,2,2,471
1137,7907,8,2,165
1138,2861,31,1,954
1139,7455,44,2,95
1140,2486,35,2,413
1141,5678,58,2,106
1142,9441,4,2,30
1143,7173,76,3,481
1144,9459,80,4,522
1145,3223,22,3,471
1146,4410,81,4,960
1147,860,89,1,489
1148,4255,58,4,195
1149,1001,15,2,527
1150,2203,20,3,83
1151,8586,31,1,389
1152,3144,69,2,873
1153,649,94,2,217
1154,7819,54,2,217
1155,858,59,2,446
1156,1586,91,4,540
1157,6245,46,3,821
1158,6722,14,3,443
1159,9151,81,2,893
1160,1683,94,2,474
1161,1266,4,1,511
1162,5764,68,3,616
1163,5425,67,4,106
1164,6839,7,2,254
1165,7694,39,1,980
1166,1740,99,1,217
1167,149,77,2,673
1168,2687,36,3,603
1169,932,51,4,389
1170,2024,36,4,474
1171,1343,92,1,614
1172,298,32,1,800
1173,6065,78,1,53
1174,6215,36,1,450
1175,4693,35,1,106
1176,6794,47,4,749
1177,8469,60,4,426
1178,5072,69,2,481
1179,6221,6,1,443
1180,6962,12,3,195
1181,229,39,3,749
1182,8159,62,4,446
1183,1735,49,1,410
1184,9254,12,1,800
1185,6140,72,1,290
1186,7416,82,2,624
1187,1385,18,1,980
1188,7710,74,4,554
1189,5918,70,2,210
1190,7112,5,4,410
1191,2122,87,4,800
1192,583,89,4,426
1193,9696,7,4,409
1194,3397,43,4,41
1195,7530,45,1,763
1196,9140,69,2,527
1197,7918,31,4,569
1198,2776,19,2,980
1199,7785,100,1,569
1200,2478,44,1,26
1201,6691,35,1,195
1202,6173,43,1,569
1203,1380,73,4,364
1204,7799,88,2,446
1205,3106,18,1,522
1206,6024,61,3,410
1207,4034,44,3,61
1208,4958,73,4,932
1209,7509,53,1,471
1210,7881,56,2,272
1211,8642,34,3,569
1212,3062,33,4,704
1213,8817,4,2,389
1214,7777,84,4,569
1215,7174,23,4,465
1216,4432,50,1,433
1217,9093,36,4,422
1218,7845,90,4,139
1219,393,63,1,297
1220,2016,43,1,739
1221,5695,65,3,603
1222,7407,39,4,95
1223,3322,43,1,624
1224,7865,32,2,649
1225,247,92,2,670
1226,2600,88,2,413
1227,4061,13,4,998
1228,6208,60,1,217
1229,2783,97,2,106
1230,9338,12,3,152
1231,1835,33,3,649
1232,5245,14,2,910
1233,3108,13,3,198
1234,4204,48,2,730
1235,2234,61,3,800
1236,8211,63,4,471
1237,2960,57,3,527
1238,3818,37,1,481
1239,2142,91,2,364
1240,3815,4,4,645
1241,8320,68,2,169
1242,8182,57,3,670
1243,7984,62,3,704
1244,6526,16,4,777
1245,5891,39,1,208
1246,1884,63,2,41
1247,7410,82,1,554
1248,8171,16,3,730
1249,3699,47,3,614
1250,9844,95,1,800
1251,4066,90,3,426
1252,2559,23,4,522
1253,761,52,3,428
1254,8894,58,4,739
1255,6648,66,2,645
